sample_Id	stress	timePoint	BIOLOGICAL_replica	OpticalDensity	INTERNALSTANDARD_cholesterol_	Alanine	GlycolicAcid	PyruvicAcid	Valine	Pyridine3_hydroxy	Ethanolamine	Glycerol	Leucine	Isoleucine	Glycine	phosphoricAcid	Phosphate	Proline	Urea	BenzoicAcid	Serine_major_	SuccinicAcid	Threonine	FumaricAcid	PelargonicAcid	PRED_Uracil	beta_Alanine	Homoserine	Thymine	MalicAcid	x4_AminobutyricAcid	AsparticAcid	ThreonicAcid	AdipicAcid	Methionine	GlutaricAcid_2_hydroxy	GlutamicAcid_N_acetyl	RiboseOrXylose	PyroglutamicAcid_oxoproline_	GlutamicAcid	Putrescine	Phenylalanine	BenzoicAcid_4_hydroxy	Glutamine_N_acetyl	Pyrophosphate_cont__	Ornithine	Psicose	Ribitol	Glycerol_3_phosphate	OroticAcid	Glutamine	GlycericAcid_3_phosphate	AzelaicAcid	Lysine	GalactonicAcid_gammaLactone_	GluconicAcid	Tyrosine	PalmiticAcid	OleicAcid	StearicAcid	Glucose6_phosphate	Sucrose	Maltose	Trehalose	PRED_Lactitol	Isomaltose	LignocericAcid	HexacosanoicAcid	aliphaticAcidMethylEster02	PEP	x2_hydroxybutyricAcid	ureidopropionicAcid	x2_aminobutyricAcid	x2_ketoglutaricAcid	D_erythrose_4_phosphate	x2_ketobutyricAcid	cholineChloride_cont__	norvaline	norleucine	oxamicAcid	glutamineMinor	isopropylmalicAcid	cysteine	arginine	trimethylLysine	triethanolamine	asparagine_minor_	x6_hydroxynicotinicAcid	cytosine	dodecanoicAcid	asparagine	shikimicAcid_3_phosphate	tyramine	dihydrooroticAcid	histidine	x3_deoxy_D_arabinoheptulosonicAcid	palmitoleicAcid	ribose5P	Spermidine_major_	heptadecanoicAcid	x6_phosphogluconicAcid	LinolenicAcid
heat_stress_1_9	heat stress	9	1	0.827	103020.666666667	1208764.9776371	1950.89299040845	26889.0780164893	12748.4806798242	7326.39300965274	33384.0603460416	9982.99266095816	252.234999819714	42882.1553280571	53161.2139999746	2144.1353106818	88131.460342792	161761.751361999	69747.2503155512	2013.19369112767	4587.64466825285	419.288975905079	247058.255694626	178687.684636966	423.699674054533	57241.356347996	939.196333783221	16275.3599678236	12043.0496921272	21106.9696436799	8072.3470070692	7801.9180096136	663.529692068799	587.169974252733	84.3539894452747	3826.80464804483	2051.51132154693	2413.4616681696	947852.818234692	650836.043675899	813553.531433418	21344.3186843678	4469.93497916897	5658.88530279112	2227.38665590629	161219.514997658	2353.91765521988	10714.0606682628	25641.6863429706	543823.622017951	17777.1920096897	1931.32065713246	427.834634654048	177021.83102319	33807.4843269004	9516.28901701029	16092.3173335869	12133.4683142616	246.170327973822	3132.95166575862	905.840671006211	100.618329120044	3180.9176763977	6415.86602571253	25686.3443389448	7820.9389917311	154.373336486409	563.738338662521	417.634991776312	239.999979129323	605.08833039197	719.489993542233	5507.82000426842	466.979336994187	207.576989676835	79.9433396598833	65809.9033383273	1245.7376908283	213.641659467356	277.871991823175	2353.64203134385	9994.84632627296	880.20365803003	4241.9586550214	795.02266676315	74.430009406298	4375.9326617201	382.900994412237	181.388669425539	1055.80332564885	10185.6076648489	15964.1323458177	843.539993804116	646.713989655333	55.684655654886	1782.46066754053	861.182676148497	329.697365452911	178.632003366993	6012.84133344084	0.001	100.066990916783
heat_stress_2_9	heat stress	9	2	0.788	113745	1165990.99213536	1831.31200345302	36346.4999879192	14264.3759937945	1654.01200339707	34006.9279945013	10035.7053142577	871.527999124532	37787.2266722344	54703.7479752245	2170.93999695596	82782.2893398732	140958.753346313	73542.4639975454	2835.22400161776	5668.6093441355	727.061328319552	249039.520018694	194322.113360425	846.83733419488	60763.9933485081	1154.6826795699	18270.8306925798	19304.1613529777	18446.0293107487	6790.19602475344	8939.86000995638	764.360013716716	961.885333721292	152.084006439536	4342.93067109812	1494.31066628028	1811.34932922024	1430137.25990823	583098.724023835	899373.55607548	21463.8066531325	4410.6986660297	4861.95997811803	5099.41067629498	0.001	2887.4946724456	14092.5919802196	26611.8106647642	509232.654661995	14506.0293038419	2578.33600464684	425.52000719444	188077.475998779	48522.9386557132	18519.3133471283	26778.3413337709	13905.31067951	228.520024340532	2991.24800262956	439.441309162484	126.079996452424	4247.05732347335	6550.38133049601	2088.46267549358	9418.17601025818	124.766656198612	321.7666906153	294.449336384732	303.000008671576	1157.30932447884	1524.51733861714	8799.33332398398	383.49334089288	133.697321653072	171.784017770188	46302.617352876	1411.57066347106	354.862644657564	168.89466355538	1011.00401901286	6675.67330758648	1176.48401693727	2696.01066400769	1026.50136447851	0.001	3076.87734667207	1134.98265049664	380.866671362096	937.982669262864	7025.54534742382	11261.3080187434	1230.85601218484	216.17467813338	28.89332974268	2683.92798323609	1489.58265859098	350.397338683328	56.736019011288	6854.02398794124	271.334662402536	71.182645680388
heat_stress_3_9	heat stress	9	3	0.766	85974.3333333333	698799.841289153	741.488020598506	11774.9519908803	21801.1259937254	1067.03800543196	21433.4459752301	7000.21866961653	7690.12934153515	20328.6186646595	27455.7380121077	1661.96467410912	69745.3213447294	83381.3980101822	41493.9646759746	1015.97133592395	2160.63065671173	423.853340246739	165210.113998394	89401.647323082	302.314670082516	30275.1286833527	437.13067674212	10120.1366753848	5903.81733231047	8813.85132183465	5291.5279949993	4397.86133556061	368.701321152146	479.260675020152	50.5560071358007	1736.52198264678	926.860002526523	1237.85599409235	492316.115327656	512608.221315257	711710.005240657	12395.1566571813	2213.22934820088	2140.20400618826	5892.83797676824	101558.577989875	2167.52466376608	10055.0266608269	14202.9166797877	375908.116676436	8183.17799813224	770.595995889133	316.102670986651	94743.9866683434	29096.254664433	0.001	8045.80867513914	9430.73667651666	244.353993221411	2191.01534620162	858.175336584493	70.9826728870973	2204.80331257831	5661.25066180614	654.163999737262	5524.39200865223	99.5800002760153	455.004012727345	682.506006536789	112.333322957391	355.934658906065	367.424654244445	6608.28200481942	161.881322003172	182.818665412469	91.1539857697627	29726.4173320276	434.066652252079	113.367999273321	110.048667027963	640.120674812821	727.444674194659	348.785347270703	1191.64066818437	176.179987225929	0.001	1682.13600106755	946.265354239516	75.0680008193647	1059.12268461022	3630.07401198994	6309.03133990612	595.181979790877	307.676674429055	0.001	1774.31132643525	954.691333605774	452.450671503191	55.4073357296367	5773.5973425981	0.001	40.0873301107713
lactose_shift_1_1	lactose shift	1	1	0.316	174578.333333333	15466.303994786	354.236006724585	1603.27866553907	2869.91201499757	3222.67334230247	3957.37332109981	9250.05733371748	3506.96799757196	638.741328121019	5199.99066779858	966.85468013722	39746.26933906	3183.69998004439	41088.7426781081	1190.26665369308	1072.08267320608	1334.88932625873	1090.30533777977	9988.1279996821	159.579998044908	6125.44932289343	148.309341727347	492.327985153161	4601.06535009334	778.308007480879	1760.33067339073	745.865324277616	64.2533466338787	291.141331477676	142.410657557651	430.181341004233	158.632008977139	571.538685996808	155045.505328093	99425.0813261956	367159.978575994	125.136005742879	530.353350207523	254.274667413796	15256.1640043252	66667.0466578979	215.722676386511	610.512014623321	8590.7759927162	173681.394665578	2265.29867944792	293.774645422513	35.1813475334253	1998.48934432581	1104.94666365656	418.594657605367	66.676003992344	13295.5946708229	169.586664876316	1800.35733894823	515.711991312001	686.036003236261	611.249336589081	291.562664775196	375151.723980825	1610.44134640889	310.206674007241	255.749327372099	169.059991422707	101.666674162216	191.60132435472	286.190661866732	384.782659375599	174.116010379757	40.9746648860067	43.502677693908	29233.5813350197	1003.29998566276	1055.96666077263	111.969324079589	415.961334900167	147.045333395901	53.8253320472133	99.6453475234186	0.001	120.60667982438	872.68667191332	263.333330487016	180.962658623413	230.785323081767	186.861335417775	14592.8800097325	343.070681148841	109.967986472461	27.7026615642147	45.9253393338573	1343.42134685424	111.021335599791	19.1706677619227	19073.8653283582	197.710665599745	0.001
lactose_shift_2_1	lactose shift	1	2	0.315	87071	9465.22499735295	349.96499761608	1159.83000173806	2265.58500197232	5108.66999955995	3584.38500233594	3426.9899918267	1933.36500166929	463.57499850732	6673.06499311106	885.46500236187	35958.5100026124	2045.50499719199	37522.3800021915	1232.59500839401	1630.43999822655	650.89500281022	617.295003922275	11555.8800015473	118.64999918373	3601.81500426216	89.98500104832	432.5999954325	4346.79000377002	454.334993869155	896.070009488745	404.14499933262	41.159991191235	422.835005253885	120.434995144275	428.60999815389	43.994998624605	306.600005229525	86011.0650006912	42349.1250018271	231719.040005189	104.370003362835	359.519993150955	853.75500307335	4326.73500509481	63069.0899932914	839.26500106701	973.139999681115	10054.905009211	182926.905008869	3125.01000177093	265.33500550074	59.850000329175	2525.98500233352	1661.30999968615	617.5050074025	1439.44500161836	6769.35000529326	93.870005898795	950.25000191394	62.47499707596	144.05999665995	0.001	383.14500354837	307518.53999359	1035.50999606775	130.51500575547	69.299994731205	393.01499114199	72.333329244645	226.169996816085	887.87999835759	430.07999939205	83.684991634335	23.51999782293	29.1899940024	39176.6549941892	1440.28500953663	1511.47500104958	175.76999336379	152.46000173775	162.750007988085	49.560003355275	77.910007794045	90.615005210415	85.364997714885	254.309997829125	182.59499298495	100.1699963376	287.17499715051	151.935002890755	8656.9349966968	139.33499959407	70.13999791323	28.454993687505	88.094998183185	544.74000711669	23.10000269115	18.059992911345	5263.43999819001	31.710000702555	30.974991897045
lactose_shift_3_1	lactose shift	1	3	0.482	90678.3333333333	15586.7553346985	347.843330991135	1631.57000156136	4088.32398060769	1304.61333174129	5290.59266971933	3167.8646729174	3563.26534818102	628.849343427699	8197.69532108973	1226.20800232918	51300.8666695162	2798.97400069794	41015.4686682488	995.651348507818	1423.02467191018	1008.66533517184	1059.91799493739	24322.8446788306	142.832665684833	2943.73466586205	112.788014826481	763.969997710018	4048.63933457754	909.051989611775	1065.05934293349	761.078009100642	0.001	361.981993683711	197.298666343245	593.181342449078	44.3439996474973	310.408007856761	113169.262001601	95657.3986763372	375449.240696649	160.023984604277	712.235327140597	3189.39399023323	13149.1206599696	94661.2653338195	431.390016482151	446.331994493632	17903.7293469352	287481.509331475	5312.44332522481	716.252003503337	57.0366694613027	4230.35332579132	1776.17000021674	461.916667491851	863.583331703852	9387.43200718421	111.823994938197	1804.60799877508	276.185989741112	102.987339974651	0.001	418.215334715067	406843.668003608	1244.52399464835	156.328671334355	86.438659768604	283.255335550212	145.999987977304	612.621991274997	1071.32532771353	760.595998644134	144.439334134096	0.001	76.6380078861627	74085.3279946869	2229.89267923594	2198.72333617312	93.347330561512	225.254660681351	290.967322802115	80.4939870801507	92.0620019847153	0.001	39.845331153408	159.381342772821	132.228665815294	329.366666379555	337.078652930952	237.626008952025	9916.02533601518	471.717337441098	102.505319515839	0.001	100.095321282048	718.662000089973	74.710007930828	29.723330015406	8162.0273217581	102.505318909323	27.955996321376
lactose_shift_1_2	lactose shift	2	1	0.449	127505.666666667	27709.4363345082	346.029334976224	2697.44233199217	5333.67099971728	4629.78866186581	7330.82299951239	5943.11366187793	5837.59866852867	733.366672695839	8251.72198927549	1296.56233481414	54406.6770020438	5250.15701334308	51812.2053509464	1214.99398681616	1396.98866645444	1395.04298925782	1716.22765679061	17133.0916512027	204.594343440024	7805.26631972594	119.73334682294	916.708316284803	4776.91098565759	1418.24132764465	2801.75999126979	1177.72697839098	102.371985243765	333.756671736475	242.459992122744	631.443655595823	225.547665027817	845.616659847853	213035.982342234	165214.788332809	588379.477869664	177.055683796615	861.481333126494	723.937663013902	5060.08033791358	95918.8223296527	754.619329588524	1672.97399661529	12753.246332088	267516.893994266	3855.26366290779	324.327663106396	39.6616656668933	3672.81999900442	1665.93968566296	605.850659594019	155.503665149795	15041.3503232928	294.543997329049	2331.20799551778	874.502327460114	204.893662439032	1176.67934045163	337.348669144997	529376.837021843	2612.2820092699	646.410322804433	232.881337004956	1014.88966089342	81.999999237687	246.351322874627	399.161015638371	734.414320079751	246.650662316306	45.4986543883127	93.0926731291237	52688.3539999021	1525.85168681405	1580.62966385503	170.919331366115	874.80165932417	212.676339641035	90.8476811204257	202.199664796282	50.2880096927127	1258.24766783781	1398.03631725779	302.925345268951	197.110997956601	554.814332463321	348.873020192129	24276.9810072488	618.273021546313	171.518007779075	0.001	89.5006560389863	1416.2956660674	162.837329170505	0.001	20411.8393445541	263.562991627198	30.3823390422187
lactose_shift_2_2	lactose shift	2	2	0.602	79411.3333333333	28926.099989051	625.076661622308	2405.3913232693	7569.94932966816	11552.7813313574	13252.4280028555	7034.77133373005	5893.98132418454	920.859331385863	15347.1873188516	1612.55733832893	64944.1613387676	7029.55399616305	55895.2986573654	2218.77134896065	3165.31600655076	1559.78201336801	2261.51333225977	35258.7386588352	192.037992804896	7084.13532462199	229.963991734741	1496.97333495974	4086.97798823431	2134.29066836993	2081.3146590911	2020.91398892521	170.968008568065	368.022673427127	351.969338227192	1099.05133045116	298.190669471184	491.834012221804	262459.357978448	175797.04333612	582826.701199563	289.160670989227	1374.56667112127	5134.65866950289	1801.98666941359	117972.334675681	0.001	758.118674684705	24776.7146610504	352509.728668487	9964.50466736498	1147.2113400659	42.1400106519887	5364.22132839954	1946.26600216559	934.906008769936	487.620007844261	11996.8566777053	192.840675196605	1946.06534149465	361.199991771663	268.893323674444	2078.50531846835	648.153338840028	552744.560680344	1690.81733230813	209.495983039854	172.372656764168	787.014663172458	189.333326544502	539.993990812075	627.083338600833	1575.8353381098	284.746014254758	153.710678472087	93.5106590226713	66872.9693349244	4862.5546658949	4951.45000390497	205.281992815531	722.199335910094	455.914658208567	166.954655989394	210.098005435458	82.072673830868	69.0293332815613	634.106665338454	351.367333224973	284.746012173845	620.059996979565	436.449997813937	32165.6626740568	276.51867059873	356.584657613791	76.6546668653267	171.369327962691	1142.99733625945	126.821339306578	37.3239908379613	9805.17532288081	162.539989310085	0.001
lactose_shift_3_2	lactose shift	2	3	0.63	83276.6666666667	21505.2600021949	731.21999772948	1541.81999012664	6410.0400043008	14304.569991353	13290.2699950608	6314.91000526974	5065.83000385896	751.38000464562	21587.1600035167	1638.84000342468	67458.7200061967	5884.19999293518	50089.4099913614	2303.90999975556	2955.32999424222	1334.34000075096	2202.06000718158	29651.5799923846	216.72001382976	5890.0800048741	297.57000638148	1374.4500022995	4081.34999193684	2574.59999090322	1829.30998721688	2255.19000206052	189.00001112874	330.7500057603	429.24001560258	1074.35999693106	297.14999174238	467.45999755014	292843.529996946	152795.160009566	589148.280037078	295.47001927716	1267.55998832232	3558.87000904008	1159.20001299438	122113.739993617	1035.29998847352	341.66998510218	24454.710007114	355816.230002163	9561.09000010752	1812.72000113904	40.3199938134	4716.810002205	2125.19998078206	953.19001244838	522.47999262312	12124.5600022701	149.5200089817	2119.94999147358	298.8299818518	154.5599843886	2092.4400105903	504.42000029652	587220.68987531	1421.28000177072	234.36000989394	199.91999155842	234.14999733846	290.33332472088	866.67000194712	581.48999879712	1766.72998938366	304.71000180936	165.89998089042	85.67999946996	59082.8699912304	3798.8999914593	3724.55999997228	252.42000594846	950.4600133035	421.47001494444	161.91000369474	210.4200087507	43.47000493122	58.3799871102	617.18999444298	286.2299924631	386.60999036982	744.24000528822	387.2399898906	36587.8799997463	322.13998935594	310.3800090237	124.95000428568	185.63999074446	977.33999210106	133.55999358576	29.40000983388	9839.33999485584	131.25000429114	61.95001030092
lactose_shift_1_3	lactose shift	3	1	0.553	120974.333333333	40053.9743296424	452.353994262994	3500.12133445021	9070.12167751432	6129.82065926218	11909.5923295733	7830.66434630487	9022.19500678421	934.75433298734	13405.2730019174	1636.14266983112	68418.6346559969	8625.87832702711	70115.9760033786	1555.03600765223	2392.46234363812	2001.67565034137	3291.45599510927	29983.8443420576	219.541015377271	9230.12298654164	183.596012535957	1404.25133395491	5452.39567290709	2712.46498323175	3904.91733132963	2625.45969243204	166.637323415647	447.561331206864	360.371678589347	1080.93065460647	424.150998088095	840.559982116717	376751.526674401	257606.939335312	804067.161368641	265.992997896204	1465.63432096254	1206.09299984037	3264.72765140442	118422.553665235	381.201324651971	473.183666669063	15625.3836807328	398129.032007583	6255.16731777191	683.507992145741	37.0510072601527	6119.86667761662	2742.69566895756	848.486332554894	198.711336291699	20477.590010686	240.739346954461	3352.10166957453	1129.963350052	2784.53934038501	1364.25101805084	451.985325717049	661404.59002238	2871.36031879386	527.746318872383	338.989002339927	802.034323265784	210.999992637513	402.58399714099	417.515000230048	1307.47635586679	400.372010493175	90.1389936312834	122.581682961365	59098.7413244394	2272.64568307178	2576.4270009377	203.135343861163	1367.2003354598	339.542021389303	168.480669496368	233.734672012333	59.5396710176707	988.763996884029	2285.36467320368	322.030320158108	227.283007221627	282.214341650822	618.438334943854	38588.340017023	736.411660827355	292.352647297473	143.595649033893	111.521666815239	1973.65700321164	238.527339686566	0.001	26381.9710045493	380.464008231405	43.686995878491
